Country,Population,% obesity,Internet Users (in mil),% Ger speakers,img.png,x,y
Austria,8221646,20.9,6.143,100.00,austrianflag.png,620,523
Belgium,10444268,22.1,8.113,27.00,belgiumflag.png,475,453
Bulgaria,6981642,23.7,3.395,12,bulgarianflag.png,797,607
Croatia,4475611,24.2,2.234,34.00,croatianflag.png,647,566
Cyprus,1155403,25.5,0.4339,5,cyprusflag.png,976,736
Czech Republic,10609762,32.7,6.681,28.00,czechflag.png,628,471
Denmark,5556452,18.2,4.75,58.00,danishflag.png,541,334
Estonia,1266375,20.6,0.9717,22,estonianflag.png,734,253
Finland,5266114,23,4.393,18,finnishflag.png,717,152
France,65951611,18.2,45.262,8.00,frenchflag.png,431,543
Germany,81147265,25.1,65.125,99.00,germanflag.png,552,448
Hungary,9939470,27.6,6.176,26.00,hungarianflag.png,694,525
Ireland,4775982,25.2,3.042,7,irishflag.png,316,369
Italy,61482297,19.8,29.235,7.00,italianflag.png,595,632
Latvia,2178443,24.9,1.504,19,latvianflag.png,743,293
Lithuania,3515858,27.6,1.964,14,lithuanianflag.png,729,331
Luxembourg,514862,26,0.4245,92.00,luxembourgflag.png,496,474
Malta,411277,28.8,0.2406,3,maltaflag.png,632,785
Netherlands,16805037,18.8,14.872,71,netherlandsflag.png,490,419
Poland,38383809,25.3,22.452,20.00,polishflag.png,680,410
Portugal,10799270,24,5.168,3,portugueseflag.png,236,662
Romania,21790479,19.1,7.787,7,romanianflag.png,780,540
Slovakia,5488339,25.4,4.063,32.00,slovakianflag.png,693,487
Slovenia,1992690,28.6,1.298,50.00,slovenianflag.png,624,556
Spain,47370542,26.6,28.119,2,spanishflag.png,317,666
Sweden,9647386,18.6,8.398,31,swedishflag.png,605,177
United Kingdom,63395574,26.9,51.444,9,britishflag.png,399,363

